ID,POSID,BANNERNAME,NAME,ADDRESS,CITY,PROVINCE ABBV.,COUNTRY ABBV.,POSTALCODE,PHONENUMBER,LATITUDE,LONGITUDE,WEBSITE URL
15,187938,Fire & Flower,Edmonton White Oaks,"12222 137 Ave NW,118",Edmonton,AB,CA,T5L 4X5,,53.59979,-113.53292,https://fireandflower.com/shop/187938?redirect=%2Fshop&agb=true
16,159601,Fire & Flower,Estevan,421A Kensington Ave,Estevan,SK,CA,S4A 0V2,,49.14496,-102.96861,https://fireandflower.com/shop/159601?redirect=%2Fshop&agb=true
17,261922,Fire & Flower,Estevan - Souris Ave,102 Souris Ave,Estevan,SK,CA,S4A 1J3,,49.1475,-102.99173,https://fireandflower.com/shop/261922?redirect=%2Fshop&agb=true
18,248666,Fire & Flower,Etobicoke - The Queensway,764 The Queensway,Etobicoke,ON,CA,M8Z 1N1,,43.62589,-79.50475,https://fireandflower.com/shop/248666?redirect=%2Fshop&agb=true
19,255258,Fire & Flower,Georgetown - Mountainview,333 Mountainview Road S,Georgetown,ON,CA,L7G 6E8,,43.63322,-79.87951,https://fireandflower.com/shop/255258?redirect=%2Fshop&agb=true
20,187946,Fire & Flower,Guelph Stone Square Centre,314 Stone Rd W,Guelph,ON,CA,N1G 3C4,,43.51826,-80.23496,https://fireandflower.com/shop/187946?redirect=%2Fshop&agb=true
21,130839,Fire & Flower,Hinton,251 Gregg Ave,Hinton,AB,CA,T7V 2A7,,53.40075,-117.58639,https://fireandflower.com/shop/130839?redirect=%2Fshop&agb=true
22,179271,Fire & Flower,Kingston Brock Street,75 Brock St,Kingston,ON,CA,K7L 1R8,,44.23059,-76.48229,https://fireandflower.com/shop/179271?redirect=%2Fshop&agb=true
23,248668,Fire & Flower,Moose Jaw - Main Street,103 Main St,Moose Jaw,SK,CA,S6H 0V9,,50.39083,-105.5346,https://fireandflower.com/shop/248668?redirect=%2Fshop&agb=true
24,159600,Fire & Flower,Moosomin,506 Main St,Moosomin,SK,CA,S0G 3NO,,50.14734,-101.66294,https://fireandflower.com/shop/159600?redirect=%2Fshop&agb=true
25,137059,Fire & Flower,North Battleford,"302 114 St, #2",North Battleford,SK,CA,S9A 2M6,,50.14734,-101.66294,https://fireandflower.com/shop/137059?redirect=%2Fshop&agb=true
26,187947,Fire & Flower,North Bay Thibeault Terrace,2021 Algonquin Ave,North Bay,ON,CA,P1B 4Z3,,46.33276,-79.46612,https://fireandflower.com/shop/187947?redirect=%2Fshop&agb=true
27,280717,Fire & Flower,North York Pond Mills Centre,"20, 4205 Keele St",North York,ON,CA,M3J 3T8,,43.77358,-79.49221,https://fireandflower.com/shop/280717?redirect=%2Fshop&agb=true
28,252082,Fire & Flower,Orangeville - Broadway,121 Broadway Ave,Orangeville,ON,CA,L9W 1K2,,43.91969,-80.09534,https://fireandflower.com/shop/252082?redirect=%2Fshop&agb=true
29,179270,Fire & Flower,Ottawa York St.,129 York St,Ottawa,ON,CA,K1N 5T4,,45.42943,-75.69019,https://fireandflower.com/shop/179270?redirect=%2Fshop&agb=true
